Input Term,Best Match,URI,Similarity Score
Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
Immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,1.0000
Pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,1.0000
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
immatures,immature,http://purl.obolibrary.org/obo/PATO_0001501,0.8741
Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
Immatures,immature,http://purl.obolibrary.org/obo/PATO_0001501,0.8741
adult | juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8514
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,1.0000
adult; juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8917
adult; juvenile;;,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8673
adult;juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8917
Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,1.0000
Adult | Juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8514
Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
Juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,1.0000
adult; juvenile; subadult,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.7687
Adultl,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7517
adult; L4,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8090
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,1.0000
adult; larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,0.8186
adult;larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,0.8186
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
larvae,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.7761
adult; larvae,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7097
adult;; larvae,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7219
Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
Larvae,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.7761
Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
Larval,larval,http://purl.obolibrary.org/obo/PATO_0001185,1.0000
Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
Larval case,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.8359
Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
Larval case,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.8359
Larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,1.0000
adult; larva; nymph,larva,http://purl.obolibrary.org/obo/UBERON_0002548,0.7075
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
leaf with pupae,leaf,http://purl.obolibrary.org/obo/PO_0025034,0.7252
adult male,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8705
Adult male,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8705
Adult Male,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8705
adult; mature,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8820
adult; metacercariae,metacercaria,http://purl.obolibrary.org/obo/UBERON_0018385,0.7457
adult; microfilariae,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6710
adult | nymph,nymph,http://purl.obolibrary.org/obo/BTO_0000954,0.6983
Adult & nymph,nymph,http://purl.obolibrary.org/obo/BTO_0000954,0.7278
Adult & Nymph,nymph,http://purl.obolibrary.org/obo/BTO_0000954,0.7278
Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
Nymph,nymph,http://purl.obolibrary.org/obo/BTO_0000954,1.0000
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
nymph,nymph,http://purl.obolibrary.org/obo/BTO_0000954,1.0000
larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,1.0000
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
nymph,nymph,http://purl.obolibrary.org/obo/BTO_0000954,1.0000
larvae,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.7761
Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
Nymphs,nymph,http://purl.obolibrary.org/obo/BTO_0000954,0.8749
adulto,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6843
Adulto,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6843
adult; over-winter,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7333
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
penultimate,final leaf,http://purl.obolibrary.org/obo/BTO_0002812,0.5353
Adult plant,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7232
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,1.0000
adult; pupa,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7114
Adult & Pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,0.7316
Adult;Pupa,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7114
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,1.0000
larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,1.0000
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
pupal case,pupal case,http://purl.obolibrary.org/obo/UBERON_0018657,1.0000
Adult + Pupal Case,pupal case,http://purl.obolibrary.org/obo/UBERON_0018657,0.8049
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
,right,http://purl.obolibrary.org/obo/PATO_0000367,0.5217
pupal case,pupal case,http://purl.obolibrary.org/obo/UBERON_0018657,1.0000
eggs?,egg,http://purl.obolibrary.org/obo/BTO_0000369,0.8083
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
pupal case on twig,pupal case,http://purl.obolibrary.org/obo/UBERON_0018657,0.7570
adult; pupal skin,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.5925
Adult;Queen,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7925
adults,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8342
Adult(s),adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8790
Adults,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8342
Adults alone,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6183
adults and immature stages,sexually immature stage,http://purl.obolibrary.org/obo/UBERON_0000112,0.8216
Adults and Larvae,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6523
adults and nymphs,nymph,http://purl.obolibrary.org/obo/BTO_0000954,0.5948
Adults and nymphs,nymph,http://purl.obolibrary.org/obo/BTO_0000954,0.5948
adults and nymphs,nymph,http://purl.obolibrary.org/obo/BTO_0000954,0.5948
some larvae,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.7169
Adults and undescribed nymph,nymph,http://purl.obolibrary.org/obo/BTO_0000954,0.6924
Adults and undetermined immature stages,post-juvenile adult stage,http://purl.obolibrary.org/obo/UBERON_0000113,0.7328
Adult(s),adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8790
Egg(s),egg,http://purl.obolibrary.org/obo/BTO_0000369,0.8086
Adult(s),adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8790
Exuvia,exudate,http://purl.obolibrary.org/obo/UBERON_0007780,0.6049
Adult(s),adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8790
Immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,1.0000
Adults,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8342
Immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,1.0000
adults,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8342
immatures,immature,http://purl.obolibrary.org/obo/PATO_0001501,0.8741
Adults,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8342
Immatures,immature,http://purl.obolibrary.org/obo/PATO_0001501,0.8741
Adults & Immature stages,sexually immature stage,http://purl.obolibrary.org/obo/UBERON_0000112,0.8194
adults; juveniles,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8134
Adults,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8342
Juveniles,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8717
adults,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8342
larvae,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.7761
adults,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8342
larvae,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.7761
and nymphs,nymph,http://purl.obolibrary.org/obo/BTO_0000954,0.6730
adults,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8342
nymph,nymph,http://purl.obolibrary.org/obo/BTO_0000954,1.0000
Adults,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8342
Nymphs,nymph,http://purl.obolibrary.org/obo/BTO_0000954,0.8749
Adults,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8342
Nymphs,nymph,http://purl.obolibrary.org/obo/BTO_0000954,0.8749
Adult(s),adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8790
Pupa(e),pupa,http://purl.obolibrary.org/obo/UBERON_0003143,0.8212
adult; subadult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7503
Adult | Subadult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6956
Adult | subadult | Juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.6987
Adult | subAdult | Juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.6987
adult; subadult; subadult; subadult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6061
adultt,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6780
Adult Tapeworm,body of tubeworm,http://purl.obolibrary.org/obo/UBERON_0012641,0.5736
adult; transitional,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7573
adult unsexed,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6633
adult- vivip,gravid adult,http://purl.obolibrary.org/obo/BTO_0004733,0.6017
adult wing,wing,http://purl.obolibrary.org/obo/UBERON_0000023,0.7600
adult worker,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6662
Adult worker,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6662
Adult Worker,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6662
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
young,young,http://purl.obolibrary.org/obo/PATO_0000309,1.0000
adut,ADP,http://purl.obolibrary.org/obo/CHEBI_16761,0.6184
Adutl,ADP,http://purl.obolibrary.org/obo/CHEBI_16761,0.6066
aecia,aeciospore,http://purl.obolibrary.org/obo/FAO_0000054,0.7224
Aecia,aeciospore,http://purl.obolibrary.org/obo/FAO_0000054,0.7224
