Input Term,Best Match,URI,Similarity Score
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,1.0000
trachea =trachea,trachea,http://purl.obolibrary.org/obo/UBERON_0003126,0.8739
trans colon,transverse colon,http://purl.obolibrary.org/obo/UBERON_0001157,0.7970
trans. colon,colon,http://purl.obolibrary.org/obo/UBERON_0001155,0.8007
trans on rt pect fin,pectoral fin,http://purl.obolibrary.org/obo/UBERON_0000151,0.5382
rays,ray system,http://purl.obolibrary.org/obo/PO_0025411,0.6920
trunk,trunk,http://purl.obolibrary.org/obo/UBERON_0002100,1.0000
Trunks,trunk,http://purl.obolibrary.org/obo/UBERON_0002100,0.6951
tumor,"neoplastic, malignant",http://purl.obolibrary.org/obo/PATO_0002097,0.7856
tumors,"neoplastic, malignant",http://purl.obolibrary.org/obo/PATO_0002097,0.7685
UBERON:0000003 naris,naris,http://purl.obolibrary.org/obo/UBERON_0000003,0.5073
UBERON:0000022 feather,vaned feather,http://purl.obolibrary.org/obo/UBERON_0008292,0.5208
UBERON:0000023 small intestine,small intestine,http://purl.obolibrary.org/obo/UBERON_0002108,0.6815
UBERON:0000023 wing,wing,http://purl.obolibrary.org/obo/UBERON_0000023,0.5616
UBERON:0000059 large intestine,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,0.7026
UBERON:0000113 post-juvenile adult stage,post-juvenile adult stage,http://purl.obolibrary.org/obo/UBERON_0000113,0.7273
UBERON:0000160 intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.6159
UBERON:0000160 small intestine,small intestine,http://purl.obolibrary.org/obo/UBERON_0002108,0.6921
UBERON:0000162 cloaca,cloaca,http://purl.obolibrary.org/obo/UBERON_0000162,0.6484
UBERON:0000165 mouth,taxicab,http://purl.obolibrary.org/obo/ENVO_01000612,0.4359
UBERON:0000178 blood,blood,http://purl.obolibrary.org/obo/UBERON_0000178,0.5011
UBERON_0000328 gut wall,gut wall,http://purl.obolibrary.org/obo/UBERON_0000328,0.7028
UBERON:0000341 throat,throat,http://purl.obolibrary.org/obo/UBERON_0000341,0.5295
UBERON:0000479 tissue,tissue,http://purl.obolibrary.org/obo/UBERON_0000479,0.5788
UBERON:0000945 stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,0.5271
UBERON:0000948 heart,heart,http://purl.obolibrary.org/obo/UBERON_0000948,0.4782
UBERON:0000955 brain,axon,http://purl.obolibrary.org/obo/GO_0030424,0.5223
UBERON:0000970 eye,eye,http://purl.obolibrary.org/obo/UBERON_0000970,0.5050
UBERON:0000972 antenna,antenna,http://purl.obolibrary.org/obo/UBERON_0000972,0.5884
UBERON:0000978 leg,leg,http://purl.obolibrary.org/obo/UBERON_0000978,0.4460
UBERON:0000992 ovary,ovary,http://purl.obolibrary.org/obo/UBERON_0000992,0.6702
UBERON:0001046 hindgut,hindgut,http://purl.obolibrary.org/obo/UBERON_0001046,0.6073
UBERON:0001052 rectum,rectum,http://purl.obolibrary.org/obo/UBERON_0001052,0.5186
UBERON:0001088 urine,urine,http://purl.obolibrary.org/obo/UBERON_0001088,0.5974
UBERON:0001153 caecum,CA1 alveus,http://purl.obolibrary.org/obo/UBERON_0014570,0.5817
UBERON:0001155 colon,colon,http://purl.obolibrary.org/obo/UBERON_0001155,0.5587
UBERON:0001255 urinary bladder,urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001255,0.6947
UBERON:0001264 pancreas,pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,0.6929
UBERON:0001690 ear,ear,http://purl.obolibrary.org/obo/UBERON_0001690,0.5471
UBERON:0001711 eyelid,eyelid,http://purl.obolibrary.org/obo/UBERON_0001711,0.6235
UBERON:0001836 saliva,saliva,http://purl.obolibrary.org/obo/UBERON_0001836,0.6035
UBERON:0001988 feces,feces,http://purl.obolibrary.org/obo/UBERON_0001988,0.5039
UBERON:0002048 lung,alveolus of lung,http://purl.obolibrary.org/obo/UBERON_0002299,0.5983
UBERON:0002082 cardiac ventricle,cardiac ventricle,http://purl.obolibrary.org/obo/UBERON_0002082,0.6747
UBERON:0002095 mesentery,mesentery,http://purl.obolibrary.org/obo/UBERON_0002095,0.6192
UBERON:0002097 skin of body,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,0.6499
UBERON:0002100 bark,bark,http://purl.obolibrary.org/obo/PO_0004518,0.6043
UBERON:0002100 trunk,trunk,http://purl.obolibrary.org/obo/UBERON_0002100,0.6452
UBERON:0002106 spleen,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,0.7035
UBERON:0002107 bark,bark,http://purl.obolibrary.org/obo/PO_0004518,0.6037
UBERON:0002107 liver,liver,http://purl.obolibrary.org/obo/UBERON_0002107,0.6045
UBERON:0002108 small intestine,small intestine,http://purl.obolibrary.org/obo/UBERON_0002108,0.7226
UBERON:0002113 kidney,kidney,http://purl.obolibrary.org/obo/UBERON_0002113,0.5924
UBERON:0002114 duodenum,duodenum,http://purl.obolibrary.org/obo/UBERON_0002114,0.6561
UBERON:0002115 jejunum,jejunum,http://purl.obolibrary.org/obo/UBERON_0002115,0.5876
UBERON:0002280 otolith,otolith,http://purl.obolibrary.org/obo/UBERON_0002280,0.7322
UBERON:0002394 bile duct,bile duct,http://purl.obolibrary.org/obo/UBERON_0002394,0.7002
UBERON_0002407 pericardium,pericardium,http://purl.obolibrary.org/obo/UBERON_0002407,0.7647
UBERON:0002481 bone tissue,bone tissue,http://purl.obolibrary.org/obo/UBERON_0002481,0.6116
UBERON:0002535 gill,gill,http://purl.obolibrary.org/obo/UBERON_0002535,0.5628
UBERON_0002535 gill,gill,http://purl.obolibrary.org/obo/UBERON_0002535,0.6135
UBERON:0002542 bark,bark,http://purl.obolibrary.org/obo/PO_0004518,0.6138
UBERON:0002542 scale,scale,http://purl.obolibrary.org/obo/UBERON_0002542,0.6283
UBERON:0002558 organ cavity,organ cavity,http://purl.obolibrary.org/obo/UBERON_0002558,0.7384
UBERON:0003126 trachea,trachea,http://purl.obolibrary.org/obo/UBERON_0003126,0.6545
UBERON:0003129 skull,skull,http://purl.obolibrary.org/obo/UBERON_0003129,0.5559
UBERON:0003408 gland of digestive tract,gland of digestive tract,http://purl.obolibrary.org/obo/UBERON_0003408,0.7281
UBERON:0003903 bursa of Fabricius,bursa of Fabricius,http://purl.obolibrary.org/obo/UBERON_0003903,0.7110
UBERON:0003903 intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.6400
UBERON:0003903 la hoja,taxicab,http://purl.obolibrary.org/obo/ENVO_01000612,0.3916
UBERON:0003903 la savia,alar central lobule,http://purl.obolibrary.org/obo/UBERON_0003013,0.4072
UBERON:0003903 parte no especificada,taxicab,http://purl.obolibrary.org/obo/ENVO_01000612,0.4066
UBERON:0005094 beak,beak,http://purl.obolibrary.org/obo/UBERON_0005094,0.5151
UBERON:0006580 mantle cavity,mantle cavity,http://purl.obolibrary.org/obo/UBERON_0006580,0.7915
UBERON:0006612 shell,shell,http://purl.obolibrary.org/obo/UBERON_0006612,0.5608
UBERON:0006860 swim bladder,swim bladder,http://purl.obolibrary.org/obo/UBERON_0006860,0.7467
UBERON_0006909 lumen of digestive tract,lumen of digestive tract,http://purl.obolibrary.org/obo/UBERON_0006909,0.8948
UBERON:0007358 abomasum,abomasum,http://purl.obolibrary.org/obo/UBERON_0007358,0.6370
UBERON:0007361 ruminant reticulum,ruminant reticulum,http://purl.obolibrary.org/obo/UBERON_0007361,0.8170
UBERON:0007365 rumen,rumen,http://purl.obolibrary.org/obo/UBERON_0007365,0.6126
UBERON:0007379 egg,shelled egg,http://purl.obolibrary.org/obo/UBERON_0007379,0.5192
UBERON:0008275 carapace,carapace,http://purl.obolibrary.org/obo/UBERON_0008275,0.6335
UBERON:0009120 gill filament,gill filament,http://purl.obolibrary.org/obo/UBERON_0009120,0.7918
UBERON:0010230 eyeball of camera-type eye,eyeball of camera-type eye,http://purl.obolibrary.org/obo/UBERON_0010230,0.6745
UBERON:0011997 coelom,coelom,http://purl.obolibrary.org/obo/UBERON_0011997,0.5334
UBERON:0013702 body proper,body proper,http://purl.obolibrary.org/obo/UBERON_0013702,0.4562
udder,udder,http://purl.obolibrary.org/obo/UBERON_0013216,1.0000
unattached,unornamented,http://purl.obolibrary.org/obo/PATO_0002442,0.6604
uncooked egg,shelled egg,http://purl.obolibrary.org/obo/UBERON_0007379,0.6621
under breast skin,skin of breast,http://purl.obolibrary.org/obo/UBERON_8480030,0.8014
under carapace,carapace,http://purl.obolibrary.org/obo/UBERON_0008275,0.8789
under eye,eye,http://purl.obolibrary.org/obo/UBERON_0000970,0.6796
under eyelids,lower eyelid,http://purl.obolibrary.org/obo/UBERON_0001713,0.6944
under eyes,eye,http://purl.obolibrary.org/obo/UBERON_0000970,0.6472
under eyes,eye,http://purl.obolibrary.org/obo/UBERON_0000970,0.6472
anal fin,anal fin,http://purl.obolibrary.org/obo/UBERON_4000163,1.0000
under eyes,eye,http://purl.obolibrary.org/obo/UBERON_0000970,0.6472
dorsal,dorsal to,http://purl.obolibrary.org/obo/PATO_0001233,0.9223
anal fins,anal fin,http://purl.obolibrary.org/obo/UBERON_4000163,0.8105
under flesh of leg joint,musculature of leg,http://purl.obolibrary.org/obo/UBERON_0004466,0.7270
under gizzard lining,gizzard,http://purl.obolibrary.org/obo/UBERON_0005052,0.6101
under integument,integument,http://purl.obolibrary.org/obo/UBERON_0002199,0.8525
under koilin lining,lining cell,http://purl.obolibrary.org/obo/CL_0000213,0.4978
under koilin lining-gizzard,gizzard,http://purl.obolibrary.org/obo/UBERON_0005052,0.5356
under left eye,left eye,http://purl.obolibrary.org/obo/UBERON_0004548,0.8462
under left pectoral fin,pectoral fin,http://purl.obolibrary.org/obo/UBERON_0000151,0.8577
under lining of gizzard,gizzard,http://purl.obolibrary.org/obo/UBERON_0005052,0.6226
under liver,liver,http://purl.obolibrary.org/obo/UBERON_0002107,0.7306
under membrane to hypohyal,basement membrane of epithelium,http://purl.obolibrary.org/obo/UBERON_0005769,0.6473
under mucous membrane,mucous gland,http://purl.obolibrary.org/obo/UBERON_0000414,0.7177
under neck skin-base of skull,skin of front of neck,http://purl.obolibrary.org/obo/UBERON_0010854,0.7742
under operculum,parietal operculum,http://purl.obolibrary.org/obo/UBERON_0002911,0.7606
under peritoneal membrane,peritoneal cavity,http://purl.obolibrary.org/obo/UBERON_0001179,0.7125
under peritoneum,peritoneum,http://purl.obolibrary.org/obo/UBERON_0002358,0.8503
under ribs,rib,http://purl.obolibrary.org/obo/UBERON_0002228,0.6950
under ribs,rib,http://purl.obolibrary.org/obo/UBERON_0002228,0.6950
sternum,sternum,http://purl.obolibrary.org/obo/UBERON_0000975,1.0000
under right eye,right eye,http://purl.obolibrary.org/obo/UBERON_0004549,0.8020
under right pectoral fin,pectoral fin,http://purl.obolibrary.org/obo/UBERON_0000151,0.8742
under rt pec.fin,fin web,http://purl.obolibrary.org/obo/UBERON_4300031,0.5344
trans rt fin,fin,http://purl.obolibrary.org/obo/UBERON_0008897,0.5641
under scales,scale,http://purl.obolibrary.org/obo/UBERON_0002542,0.7611
under shell,shell,http://purl.obolibrary.org/obo/UBERON_0006612,0.8197
under skin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,0.6586
under skin between toes,dorsal skin of toe,http://purl.obolibrary.org/obo/UBERON_0005277,0.7380
under skin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,0.6586
